account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
SecPompeo,0.2861586,643,1,1903212,master only (1),1.65176589,
IncredibleCulk,0.2857143,7,1,533448,master only (1),0.482434233,
mamtamohan,0.2857143,7,1,537436,master only (1),-1.362388779,
realpreityzinta,0.2857143,84,1,4938628,master only (1),0.738524695,
nsitharaman,0.2837607,585,1,3340099,master only (1),0.699639897,
BakhtawarBZ,0.2835821,201,1,2742501,master only (1),0.295310566,
rmantha2,0.2815534,206,1,563247,master only (1),1.333348617,
Fahrenthold,0.2806394,2252,1,727570,master only (1),1.110516269,
bbcnickrobinson,0.2777778,252,1,968031,master only (1),1.127307479,
nansen,0.2773438,256,1,500916,master only (1),1.59267151,
David_Ornstein,0.276699,206,1,557047,master only (1),0.667384838,
GarShehu,0.2751092,229,1,914939,master only (1),1.025292504,
HassanAliJoho,0.2741936,124,1,734208,master only (1),0.510923552,
ecr9495,0.2731755,2028,1,503743,master only (1),-0.026129164,
AmbJohnBolton,0.2727273,99,1,933254,master only (1),1.635829586,
OmarAbdullah,0.2721239,452,1,3243773,master only (1),0.486462073,
SAfridiOfficial,0.2673993,273,1,1291936,master only (1),0,
IsraeliPM,0.2669903,206,1,825366,master only (1),0.376414624,
OfficialMelB,0.2666667,45,1,1068124,master only (1),0.042220037,
HEBobiwine,0.2642857,140,1,520702,master only (1),-0.894775908,
trishtrashers,0.2631579,19,1,5212483,master only (1),1.042388766,
WarrenWhitlock,0.2600864,1388,1,505831,master only (1),1.518720346,
J_Ennis,0.2592593,27,1,1494258,master only (1),-0.449278084,
imbhandarkar,0.2576419,229,1,878166,master only (1),0.327541497,
PankajAdvani247,0.2575758,66,1,1092200,master only (1),0.01371107,
SecondLady,0.257554,695,1,550872,master only (1),0,
SitaramYechury,0.2566372,678,1,933651,master only (1),0,
SavannahGuthrie,0.254717,212,1,915399,master only (1),0.940262001,
Sophie_Choudry,0.2537313,402,1,2368996,master only (1),0,
CarlyRoseMusic,0.25,4,1,650627,master only (1),0.214509806,
memetalialabora,0.25,8,1,2826259,master only (1),-2.384811839,
AsiwajuTinubu,0.25,12,1,735764,master only (1),0,
dramadrama,0.25,16,1,554209,master only (1),0.923385913,
thejakartaglobe,0.25,528,1,527762,master only (1),0.846208231,
NickKristof,0.246522,1797,1,2056212,master only (1),0.444565327,
nusratchirps,0.2460733,191,1,738837,master only (1),0,
FauziaKasuri,0.245841,541,1,801197,master only (1),-0.676507136,
