account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
kimgarst,0.0949285,2307,0.9923664,1216835,master only (1),0.4782959,
MarthaKarua,0.0901991,2561,0.989071,501460,master only (1),-0.906352376,
DavidCornDC,0.0904152,2577,0.9883721,1041502,master only (1),0.478874607,
brianstelter,0.0803842,1978,0.9873418,1151608,master only (1),0.809502827,
thebrittanyxoxo,0.0542466,1825,0.9868421,2055200,master only (1),0.985976659,
phivolcs_dost,0.0030769,2600,0.9866667,2706183,master only (1),0,
jaketapper,0.0115385,3120,0.9861111,578746,master only (1),1.094800623,
MaraWilson,0.0931677,805,0.9852941,895091,master only (1),-1.704743234,
rolandsmartin,0.2203905,2305,0.9850746,737540,master only (1),0.531079328,
ProfJNMoyo,0.1237113,2328,0.9850746,885372,master only (1),0.700321661,
MZHemingway,0.1093172,2973,0.9849624,750760,master only (1),1.406282183,
TheRevAl,0.3551648,2275,0.9846154,756026,master only (1),-1.108046858,
suhasinih,0.0098522,203,0.984375,630344,master only (1),0.693429229,
therealcliffyb,0.0940292,2127,0.984127,793998,master only (1),-0.598220916,
BillKristol,0.0655195,3022,0.984127,1297852,master only (1),1.210444373,
MarkDice,0.0013249,3019,0.984127,609658,master only (1),1.710715239,
OriginalFunko,0.276082,2195,0.9836066,930619,master only (1),-0.075975715,
telugufilmnagar,0.1219937,2869,0.9830508,828058,master only (1),0,
goldman,0.1206336,2462,0.9823009,712649,master only (1),-2.088039326,
DuncanBannatyne,0.0185185,54,0.9823009,810658,master only (1),-0.012144621,
JRsBBQ,0.0003824,2615,0.9809524,541360,master only (1),0.976186067,
greta,0.1380405,2521,0.9805195,2520869,master only (1),1.23499517,
sri50,0.0378549,1268,0.9805195,538275,master only (1),0.981132243,
afneil,0.060144,2361,0.9804561,553914,master only (1),1.029516882,
TVMohandasPai,0.2992424,792,0.9803922,584160,master only (1),0.723654722,
dumbassgenius,,,0.9795918,510677,master only (1),-1.748650588,
obyezeks,0.1386769,2358,0.9791667,599495,master only (1),-0.778855676,
JoeTrippi,0.2605806,2859,0.9787234,1299951,master only (1),0.743293509,
PritishNandy,0.0703971,554,0.9787234,619097,master only (1),0.587236495,
ceebee308,0.0634986,2441,0.9787234,659628,master only (1),1.356963476,
vikramchandra,0.0777251,1055,0.9782609,614903,master only (1),0.155500739,
jilevin,0.00306,1634,0.9782609,1078136,master only (1),-0.016434713,
JoyAnnReid,0.0836985,2282,0.9777778,697405,master only (1),0.288586197,
PerezHilton,0.0732357,1502,0.9777778,979855,master only (1),-1.439597817,
MalcolmNance,0.0469001,3113,0.9777778,749805,master only (1),-1.605142965,
caitlinmoran,0.0147929,2704,0.9777778,1738196,master only (1),-1.101160911,
RWPUSA,0.1105139,2977,0.9774436,1218241,master only (1),-1.345109164,
arrobapornogay,0.4238361,2685,0.9772727,1169330,master only (1),0,
IGGYAZALEA,0.1437562,3019,0.9772727,1096025,master only (1),#NAME?,
carolecadwalla,0.1288981,2405,0.9768519,571577,master only (1),0.489878686,
Cernovich,0.3998453,1293,0.9767442,1038911,master only (1),1.855926503,
JoeNBC,0.2582038,2316,0.9767442,1034274,master only (1),0.790919695,
dannysullivan,0.148721,1681,0.9767442,816904,master only (1),-0.675061887,
Alythuh,0.0775623,1805,0.9767442,1953883,master only (1),-0.494527386,
NicolleDWallace,0.008991,1001,0.9767442,565192,master only (1),1.068714563,
bellanaija,0.3792431,2563,0.9761904,2998490,master only (1),-0.118340555,
SamHeughan,,,0.9759259,610665,master only (1),-0.198384668,
SaraCarterDC,0.0887701,1870,0.9756098,1656135,master only (1),1.386134225,
gtconway3d,0.1188835,2902,0.9753087,5996989,master only (1),1.011116416,
paddypower,0.0846037,1312,0.9751037,807149,master only (1),0.326207752,
larrykim,0.0728261,920,0.975,837603,master only (1),0.951580441,
DalrympleWill,0.1263395,1773,0.974359,713980,master only (1),0.740047572,
NYCMayorsOffice,0.0177187,903,0.9736842,562398,master only (1),-0.009333799,
RubinReport,,,0.9736842,763983,master only (1),1.341498057,
BadAstronomer,0.0150376,133,0.9722222,8037360,master only (1),-1.906290809,
DavidOyedepoMin,,,0.9722222,510479,master only (1),0,
JonahLupton,,,0.9722222,1503945,master only (1),1.286436273,
TomFitton,0.0420587,1807,0.9719101,600809,master only (1),1.407706031,
jonfavs,0.1585557,1911,0.9714286,2664729,master only (1),-0.510034137,
teddyboylocsin,0.1129808,416,0.9714286,533530,master only (1),0.972918493,
Swamy39,0.0156863,255,0.9714286,560725,master only (1),0.985495109,
jaboukie,0.1376559,2005,0.9705882,799021,master only (1),-1.938204531,
ava,0.0608944,2102,0.9705882,1653943,master only (1),-1.582184998,
mnwild,0.0313726,1275,0.9705882,647519,master only (1),-0.805812193,
WOOLWORTHS_SA,0.1974005,2462,0.969697,1181944,master only (1),-0.52782257,
JuddApatow,0.0820969,2022,0.969697,1139496,master only (1),-1.512384792,
Baddiel,0.0690817,2374,0.9690722,581820,master only (1),-0.306133008,
MariaBartiromo,0.0063632,2043,0.9689922,654324,master only (1),1.41476644,
liamcunningham1,0.119774,885,0.96875,791438,master only (1),-0.971135514,
ScottGShore,0.1174033,2172,0.96875,1176732,master only (1),0.009190809,
GabbieHanna,0.0778733,1862,0.96875,990921,master only (1),0,
maggieNYT,0.0543881,1618,0.96875,740864,master only (1),1.12126849,
GuyKawasaki,0.0473373,845,0.96875,617078,master only (1),-0.621427902,
michaelianblack,0.0378788,792,0.96875,807163,master only (1),-1.540231601,
therealstylesp,0.0625,16,0.968421,520034,master only (1),0.227189868,
PleasureEllis,0.2115226,2430,0.9677419,1011193,master only (1),1.227877882,
jakpost,0.1338912,1912,0.9677419,1333420,master only (1),0,
neilhimself,0.1209611,2414,0.9677419,666824,master only (1),-1.389822711,
malaysiakini,0.0835851,1986,0.9677419,9109906,master only (1),0,
sagarikaghose,0.0545073,477,0.9677419,733708,master only (1),0.681260822,
CharlesMBlow,0.0110638,2350,0.9677419,2386552,master only (1),0.838637762,
AshaRangappa_,0.0033296,901,0.9677419,619308,master only (1),0.437096963,
jazzpk,0.0010515,951,0.9677419,694359,master only (1),0,
anamariecox,,,0.9677419,584459,master only (1),0.987465733,
bisping,0.1428016,2570,0.9672131,2399279,master only (1),0.473136653,
GeorgeTakei,0.0486111,1440,0.9672131,697352,master only (1),-1.351072804,
mrjamesob,0.3101504,1596,0.9666666,725656,master only (1),-1.288091792,
paulmasonnews,0.1176471,1411,0.9666666,559094,master only (1),-1.226984035,
jdickerson,0.0414201,169,0.9666666,1700410,master only (1),1.159366896,
DaveWeasel,0.037037,270,0.9666666,2795041,master only (1),0.340170007,
IlhanMN,0.1213636,2200,0.9659575,1341364,master only (1),-1.754575531,
RubberNinja,0.11875,1600,0.9655172,1444803,master only (1),-0.528772124,
StephanieAbrams,0.0822785,948,0.9655172,1941096,master only (1),-0.74473428,
scarra,0.0334385,1585,0.9655172,568455,master only (1),0,
Shehla_Rashid,0.0097032,1752,0.9655172,754705,master only (1),-1.562889059,
SethAbramson,0.2313154,2676,0.9653179,900249,master only (1),0,
DonaldJTrumpJr,0.0834961,2048,0.9642857,2810335,master only (1),1.448330826,
MATTHARDYBRAND,0.0774447,2802,0.9632353,1350948,master only (1),1.318738256,
OgbeniDipo,0.3333333,1230,0.962963,4164168,master only (1),0,
KeithOlbermann,0.1784703,1412,0.962963,561373,master only (1),-1.110614397,
DickieV,0.0863388,1830,0.962963,563794,master only (1),-1.276743137,
KatyTurNBC,0.0833333,36,0.962963,620267,master only (1),0.347079376,
CouRageJD,0.0740389,2107,0.962963,1199559,master only (1),1.546534177,
justinsuntron,0.034345,1252,0.962963,609680,master only (1),0.427557688,
mitchgrassi,0.0281633,2450,0.9625,2994219,master only (1),-0.752351969,
LilTwist,0.0963187,1983,0.9620253,684327,master only (1),0.126921418,
MartinSLewis,0.1976631,1027,0.9615384,629197,master only (1),0.555246722,
MrChuckD,0.0966638,1169,0.9615384,2010193,master only (1),-0.367235139,
prodnose,0.0903955,177,0.9615384,505450,master only (1),0.235643684,
SamanthaCartel,0.0850891,1234,0.9615384,2018058,master only (1),0.97445131,
Peston,0.0262172,534,0.9615384,619861,master only (1),0.736663058,
svaradarajan,0.0136214,2129,0.9615384,2039494,master only (1),-2.041620688,
BetteMidler,,,0.9615384,509271,master only (1),-1.499232634,
tribelaw,0.1998774,1631,0.9607843,764566,master only (1),-0.615777788,
Joselyn_Dumas,0.1074719,977,0.9607843,807263,master only (1),0.695756073,
marklevinshow,0.0978223,2893,0.9607843,5093117,master only (1),2.139187381,
Drakee_YMCMB,0.0147493,1017,0.96,1466110,master only (1),0,
BraveLad,0.0333686,1888,0.959596,588405,master only (1),1.178512119,
MoeedNj,0.0763948,2330,0.9591837,982530,master only (1),0.372308167,
johnrampton,0.0135218,1627,0.9591837,891412,master only (1),1.121415058,
shattawalegh,0.0037406,2406,0.9584352,1077286,master only (1),0,
russellcrowe,0.15874,1619,0.9583333,732779,master only (1),-0.592095534,
shwood,0.0534351,524,0.9583333,1266042,master only (1),0,
bjpenndotcom,0.0162842,1351,0.9583333,2096286,master only (1),0,
KermodeMovie,0.0113636,176,0.9583333,509491,master only (1),-1.255314824,
emmablackery,0.0055075,1271,0.9583333,1243714,master only (1),0,
lmgriffjohnson,0.15625,1344,0.9577465,949683,master only (1),0,
TeaPainUSA,0.0457545,2273,0.9574468,635031,master only (1),-1.171373418,
zerohedge,0.0190114,1578,0.9574468,513772,master only (1),1.160665596,
BretBaier,0.0076239,2361,0.9569892,565661,master only (1),1.212129219,
MigunaMiguna,0.3339731,1042,0.9565217,1072401,master only (1),-0.359179299,
danpfeiffer,0.2142599,2763,0.9565217,582322,master only (1),-0.837825394,
ChilledChaos,0.1092577,1199,0.9565217,1939869,master only (1),0.617159241,
iamjojo,0.0692982,1140,0.9565217,864236,master only (1),-1.530217898,
PatMcAfeeShow,0.0690299,1072,0.9565217,887269,master only (1),1.146424317,
paulg,0.039261,1299,0.9565217,2189777,master only (1),0.438380039,
AndyRichter,0,1074,0.9565217,1340540,master only (1),-1.911797034,
marwilliamson,0.4708455,686,0.9545454,525513,master only (1),-1.868283256,
wingoz,0.112069,1740,0.9545454,2157023,master only (1),-0.041663195,
toluogunlesi,0.0697674,1161,0.9545454,1404238,master only (1),0.549932662,
ogundamisi,0.0415954,1755,0.9545454,1919572,master only (1),0.542086951,
SophiaBush,0.04,625,0.9545454,2764864,master only (1),-1.265689001,
realFFK,0.0355556,225,0.9545454,1763614,master only (1),1.225919227,
JERICHO,0.0332613,2315,0.9545454,580422,master only (1),0.408985336,
spencerpratt,0.0234742,1278,0.9545454,583278,master only (1),0.827248807,
ParisHilton,0.0165837,603,0.9545454,718339,master only (1),-0.467766865,
MrCashtime,,,0.9545454,669455,master only (1),0,
_DomoWilson1,0.0369938,2568,0.954023,599356,master only (1),-0.077322303,
JimCantore,,,0.954023,672999,master only (1),1.333455895,
mattgaetz,0.1757387,2572,0.9538462,1399928,master only (1),1.444597335,
alykhansatchu,0.1429455,1616,0.9534883,1080950,master only (1),1.006068703,
sarahkendzior,0.1234454,2171,0.952381,635605,master only (1),-1.169084058,
OwenJones84,,,0.952381,713360,master only (1),-1.970941929,
ShekharGupta,,,0.952381,829398,master only (1),1.16384431,
BDUTT,0.025702,2101,0.9516129,1793673,master only (1),0.207378805,
rickygervais,0.1813577,987,0.9512195,1188959,master only (1),-1.010242501,
marcuslemonis,0.0573698,1133,0.9512195,1065674,master only (1),0.976741833,
JasonLaCanfora,0.0459184,784,0.9512195,2793278,master only (1),-1.30388584,
PresidencyZA,0.0201005,1990,0.9512195,1010368,master only (1),0,
AnneKiguta,0.2182442,2039,0.9504951,608073,master only (1),0.437004521,
ThuliMadonsela3,0.2079851,2154,0.95,553687,master only (1),0.312044944,
JakeQuickenden,0.1923861,1471,0.95,1321665,master only (1),-1.015270528,
djblack,0.1867008,391,0.95,955607,master only (1),0.650081689,
TitusONeilWWE,0.0585284,598,0.95,700827,master only (1),-0.75900296,
ProSyndicate,0.0489039,593,0.95,926893,master only (1),0,
JASMINEVILLEGAS,0.0386657,1319,0.95,17058770,master only (1),-0.259748746,
WilliamShatner,0.0285296,1367,0.95,1598912,master only (1),0.383428098,
lahoreqalandars,0.0277778,1044,0.95,507149,master only (1),0,
NepentheZ,0.0024691,1215,0.95,1216841,master only (1),-1.229909941,
haruharu_w_bts,,,0.95,502491,master only (1),0,
TEYANATAYLOR,0.2568909,907,0.9498433,571062,master only (1),-1.309632069,
ABFalecbaldwin,,,0.949495,542224,master only (1),-1.37238897,
segalink,0.1710825,1321,0.9493671,975839,master only (1),1.19557306,
BethMooreLPM,0.3123711,2910,0.9491525,2304392,master only (1),1.147055063,
chefsymon,0.2295271,867,0.9491525,7188334,master only (1),-0.467795167,
ericfisher,0.0428266,934,0.948718,14376348,master only (1),0.168851986,
Rosie,0.0151856,1778,0.948718,588839,master only (1),-0.213268808,
DrTedros,0.0326409,674,0.9478261,550792,master only (1),0.85980391,
sardesairajdeep,0.4901961,1071,0.9473684,1545419,master only (1),-0.099763883,
sarbanandsonwal,0.2857143,364,0.9473684,631124,master only (1),1.480671711,
SreenivasanJain,0.2798742,636,0.9473684,1396376,master only (1),0.482443661,
jeremycorbyn,0.2642643,333,0.9473684,1091946,master only (1),-1.001857913,
MeghanMcCain,0.1226708,1288,0.9473684,505914,master only (1),1.366030393,
JoyceWhiteVance,0.0513369,935,0.9473684,507061,master only (1),-1.301367617,
ElsaJeanxxx,0.0301837,2286,0.9473684,630017,master only (1),0,
JohnBarrowman,0.025,600,0.9473684,2292629,master only (1),-1.668697313,
KissaSins,0.0176,1875,0.9473684,1677994,master only (1),0.378387895,
JDaIey,0.0173627,2131,0.9473684,2544042,master only (1),-2.075215194,
scump,0.0116402,945,0.9473684,805196,master only (1),0.878968314,
rajcheerfull,0.0107738,1021,0.9473684,917839,master only (1),0.515609672,
benshapiro,0.0044053,908,0.9473684,811748,master only (1),1.869486089,
sacca,0.0038351,1043,0.9473684,1274966,master only (1),-1.274760346,
TheRickWilson,,,0.9473684,1087496,master only (1),1.332814702,
inthefade,,,0.9463087,525017,master only (1),-0.950337357,
ScottJKyle1,0.0190114,263,0.9459459,947490,master only (1),0,
SRuhle,0.0169147,1478,0.9459459,700759,master only (1),0.626670509,
RachelRileyRR,0.0167488,1015,0.9456522,625309,master only (1),-1.320316835,
TomHall,0.1663914,2422,0.9454545,1192969,master only (1),1.140206231,
robdelaney,0.6261501,2065,0.9444444,1170854,master only (1),-1.681177225,
nailogical,0.3685315,1430,0.9444444,8966010,master only (1),-0.836940872,
kirstiealley,0.270362,884,0.9444444,802659,master only (1),1.30384668,
nikidemar,0.2301711,643,0.9444444,574910,master only (1),-1.321766268,
funnyfacegh,0.2151899,316,0.9444444,2427217,master only (1),1.287859534,
bhogleharsha,0.1350093,1074,0.9444444,742868,master only (1),0,
trishapaytas,0.1105298,1529,0.9444444,577718,master only (1),-1.873278281,
XNicoleAnistonX,0.0747863,468,0.9444444,502228,master only (1),0,
JeffreeStar,0.0630011,873,0.9444444,530652,master only (1),0.947375867,
I_AM_WILDCAT,0.0238095,1008,0.9444444,571770,master only (1),0.967609484,
AllyBrooke,0.0151934,724,0.9444444,850261,master only (1),0.010255041,
CodyWolfeMusic,0.0141844,282,0.9444444,2122862,master only (1),2.028530358,
BigJigglyPanda,0.1777394,2318,0.943662,569921,master only (1),-1.190025375,
natusvincere,0.0991426,1866,0.9431818,2702697,master only (1),0,
DeionSanders,0.1253666,1364,0.9428571,1667461,master only (1),0.864486431,
SypherPK,0.0417293,2660,0.9427083,923302,master only (1),-0.330549579,
SebGorka,0.0234962,1064,0.9425287,706347,master only (1),1.467697347,
ThatEricAlper,0.25,4,0.9411765,757773,master only (1),1.241939993,
PrisonPlanet,0.1773846,2317,0.9411765,552298,master only (1),1.500723189,
elijahdaniel,0.153271,535,0.9411765,663658,master only (1),-2.081955102,
velvetgh0st,0.1389776,626,0.9411765,609439,master only (1),0,
DrewFromTV,0.0795107,1962,0.9411765,1586323,master only (1),-1.194593946,
richeisen,0.0770677,532,0.9411765,621161,master only (1),-0.749832665,
piersmorgan,0.0464371,1249,0.9411765,1301929,master only (1),1.033388947,
Clayster,0.045273,751,0.9411765,1778994,master only (1),0,
djkingassassin,0.0419753,810,0.9411765,1168089,master only (1),0,
Imamofpeace,0.0276407,1013,0.9411765,8448841,master only (1),2.370069433,
NYGovCuomo,0.0231959,776,0.9411765,663036,master only (1),-0.225315892,
Markgatiss,0.0220264,454,0.9411765,632966,master only (1),-0.440140631,
common,0.0208768,479,0.9411765,7704996,master only (1),-1.665054431,
ResourcefulMom,0.0160643,498,0.9411765,1696578,master only (1),0.48336014,
MrLeonardKim,0.016,500,0.9411765,2798054,master only (1),1.470793727,
chrisdelia,0.0157846,1077,0.9411765,540485,master only (1),-0.061225806,
tokstarr,0.0157658,444,0.9411765,525184,master only (1),-0.6593553,
ProZD,0.0151844,922,0.9411765,520808,master only (1),-1.453393936,
KChenoweth,0.0131422,837,0.9411765,1126425,master only (1),-0.604578411,
MatthewBerryTMR,0.0124481,482,0.9411765,873388,master only (1),-0.720178425,
naval,0.0639772,2454,0.9406779,933544,master only (1),0,
PhilipRucker,0.0214339,2706,0.9404762,701046,master only (1),1.162088924,
sarahcpr,0.2182266,2030,0.94,1150262,master only (1),-1.702885028,
daveweigel,0.0543131,939,0.939759,637800,master only (1),1.095650048,
mehdirhasan,0.0645161,62,0.9393939,672207,master only (1),-0.312032476,
thereallisaann,0.0614555,1855,0.9393939,601192,master only (1),0.415312292,
helenzille,0.0497778,1125,0.9393939,1226062,master only (1),0.757693204,
OleItumbi,0.1974544,2907,0.9390244,7573469,master only (1),1.002489902,
arielhelwani,0.0081191,739,0.9387755,716269,master only (1),0.343922148,
dodo,0.0012739,785,0.9387755,525572,master only (1),-0.024721037,
arjmxrell,0,11,0.9387755,869486,master only (1),0,
waltmossberg,0.3333333,1044,0.9375,2072615,master only (1),-0.574172269,
Benioff,0.0984252,1016,0.9375,729573,master only (1),0.621057673,
amandapalmer,0.0833333,444,0.9375,5436103,master only (1),-2.004508565,
NikkiHaley,0.0424837,918,0.9375,606760,master only (1),1.385667944,
dougulman,0.0363128,358,0.9375,611996,master only (1),-0.452344137,
ColleenB123,0.030303,396,0.9375,1128173,master only (1),-1.097652086,
meghanrienks,0.0254176,1377,0.9375,769825,master only (1),-2.001463978,
hwinkler4real,0.0205479,584,0.9375,614674,master only (1),-0.28535975,
RSherman_25,0.0199275,552,0.9375,1190958,master only (1),0.343199033,
trixiemattel,0.0166667,600,0.9375,1047414,master only (1),-1.531867057,
DuvalMagic,0.0140845,71,0.9375,850525,master only (1),-0.999491326,
AriTheDon,,,0.9375,504562,master only (1),0,
aydan,,,0.9375,591581,master only (1),0,
RealMickFoley,0.0951493,1608,0.9370629,509469,master only (1),-0.662453209,
TeamPelosi,0.0933997,1606,0.9367089,872919,master only (1),-2.417785959,
anildash,0.0127694,1253,0.9358974,1177749,master only (1),-1.816837418,
BenjaminEnfield,0.2331081,296,0.9354839,1433599,master only (1),-1.466984531,
hitRECordJoe,0.1826452,1429,0.9354839,1004888,master only (1),-0.958326178,
funder,0.0218652,2241,0.9354839,851972,master only (1),0.7690501,
susannareid100,0.0017668,2264,0.9354839,2042437,master only (1),0.726084573,
Hollyoaks,0,1521,0.9354839,1010664,master only (1),-0.10663124,
ScottPresler,0.1733333,375,0.9333333,871906,master only (1),2.128804136,
BreeOlson,0.1688312,1771,0.9333333,1028568,master only (1),-0.951774469,
MelDMann,0.0893372,347,0.9333333,1089811,master only (1),-2.281461787,
jameelajamil,0.0807799,718,0.9333333,638853,master only (1),-1.315038638,
johncusack,0.0695876,388,0.9333333,917130,master only (1),-1.831774142,
waltshaub,0.0541516,277,0.9333333,1897182,master only (1),-1.301206773,
derekobrienmp,0.0528351,776,0.9333333,575171,master only (1),-1.398259661,
NadeemfParacha,0.0306947,619,0.9333333,682260,master only (1),0,
ImRaina,0.0265957,188,0.9333333,2137510,master only (1),-0.067344025,
lindaikeji,0.0231533,907,0.9333333,703741,master only (1),0.040484415,
altonbrown,0.0161725,371,0.9333333,758243,master only (1),0.134915868,
thekiranbedi,0.009122,877,0.9333333,610329,master only (1),0.827070219,
theJeremyVine,0.0051813,386,0.9333333,514167,master only (1),0.939590031,
zachbraff,,,0.9333333,1872983,master only (1),-1.288469437,
ALIBABAGCFR,,,0.9333333,510605,master only (1),1.125254265,
AriMelber,0.0712144,1334,0.9326923,599742,master only (1),0.782119702,
McJesse,0.001773,2256,0.9326923,1136172,master only (1),-1.087042464,
RufusHound,0.0468278,662,0.9319728,4211830,master only (1),-0.606112469,
thevirdas,0.1110451,1684,0.9316547,676726,master only (1),0.334328718,
JackPhan,0.2229337,1718,0.9310345,738744,master only (1),1.324311734,
PearlModiadie,0.0039526,2024,0.9310345,510058,master only (1),0.232498099,
laurDIY,0,116,0.9310345,598159,master only (1),-0.194324806,
DavidVonderhaar,0,144,0.9310345,1282247,master only (1),-2.393602887,
geoffkeighley,,,0.9310345,585108,master only (1),0.551506361,
KREAYSHAWN,0.0456731,832,0.9302326,1115233,master only (1),-1.017881805,
Tejasvi_Surya,0.0517073,1025,0.930131,1664401,master only (1),0.398330569,
timlovejoy,,,0.9296875,516578,master only (1),0.64109613,
LivEchoLFC,0.0349453,2833,0.9294118,728620,master only (1),0,
bryanboy,0.3354364,951,0.9285714,1217334,master only (1),-1.195697496,
BillRatchet,0.2416667,240,0.9285714,604024,master only (1),-0.820679214,
IAmJericho,0.235023,434,0.9285714,17392700,master only (1),1.105895078,
djsbu,0.2123419,2609,0.9285714,1942429,master only (1),0.521132993,
JonHeyman,0.1636364,55,0.9285714,4539282,master only (1),0.700901543,
bomani_jones,0.1608877,721,0.9285714,12314530,master only (1),-1.681304385,
RobertAlai,0.1420888,2231,0.9285714,750856,master only (1),0.795722279,
himantabiswa,0.1257253,517,0.9285714,2022085,master only (1),1.555085352,
scrowder,0.1197917,576,0.9285714,855909,master only (1),1.718458206,
MEAIndia,0.1153846,494,0.9285714,667838,master only (1),0.779940298,
narendramodi,0.0723781,677,0.9285714,1183746,master only (1),0.980997959,
asadowaisi,0.0711712,1110,0.9285714,1117980,master only (1),0.602847272,
ritaUdominic,0.0696056,1293,0.9285714,7874221,master only (1),-0.05365056,
kristenschaaled,0.0501253,399,0.9285714,1221906,master only (1),-1.569687608,
PacdWeu,0.0483619,641,0.9285714,1767177,master only (1),0.91382905,
DLoesch,0.0434783,391,0.9285714,5982006,master only (1),1.86557596,
DougBenson,0.0358974,195,0.9285714,1212174,master only (1),-2.066062517,
jk_rowling,0.0176211,227,0.9285714,1154782,master only (1),-0.134372077,
steveaoki,0,3,0.9285714,573593,master only (1),-0.05909254,
Dynamomagician,,,0.9285714,519770,master only (1),-1.076507104,
PeteButtigieg,,,0.9285714,653419,master only (1),0.009289116,
bernabephoto,,,0.9274809,687060,master only (1),1.111541725,
Kehlani,0.0774083,1744,0.9268293,514550,master only (1),-0.548258928,
lure_lady,0.051458,583,0.9268293,501619,master only (1),-1.226539532,
ArianFoster,0.0287958,2292,0.9259259,3615817,master only (1),-1.545148384,
khloekardashian,0.1285552,1758,0.9253333,864686,master only (1),-0.403483518,
DKarma,0.0289855,690,0.925,619154,master only (1),-0.303612704,
KEEMSTAR,0.0122309,2044,0.9245283,504335,master only (1),1.895965592,
EddieHearn,0.0511057,2035,0.9240506,1447012,master only (1),0.707004001,
Spotboye,0.4671986,1128,0.9230769,677941,master only (1),0.027814301,
tjmanotoc,0.2872063,766,0.9230769,1039053,master only (1),0.268279745,
VitalikButerin,0.2334025,964,0.9230769,2051717,master only (1),0,
lemontwittor,0.218599,828,0.9230769,56888997,matched (3),-0.365284407,
FootyAccums,0.2047761,1675,0.9230769,1386473,master only (1),-0.461242242,
ShivAroor,0.1463878,526,0.9230769,1056512,master only (1),0.921355857,
andymilonakis,0.095082,610,0.9230769,956306,master only (1),-1.788034043,
russdiemon,0.0930343,2096,0.9230769,1008432,master only (1),-0.3904644,
ShashiTharoor,0.0871307,1997,0.9230769,1223010,master only (1),0.467417097,
KirenRijiju,0.0433213,277,0.9230769,836600,master only (1),0.960021962,
virsanghvi,0.0414938,964,0.9230769,14651215,master only (1),0,
ReformedBroker,0.0413333,750,0.9230769,8392215,master only (1),0.512951492,
abati1990,0.0318841,345,0.9230769,2131267,master only (1),0.908842052,
kathygriffin,0.0313316,766,0.9230769,1862894,master only (1),-1.881061745,
DJFreshSA,0.0296827,977,0.9230769,1039133,master only (1),-0.012696173,
katiecouric,0.0198347,605,0.9230769,1755832,master only (1),0.601055033,
deespeak,0.0135501,369,0.9230769,659177,master only (1),0.093298495,
TerryMoran,0.0125,240,0.9230769,613772,master only (1),0.935697289,
Kritika_Kamra,0.0102881,486,0.9230769,27910017,matched (3),-0.425419249,
majorgauravarya,0.0052632,190,0.9230769,649171,master only (1),1.324878288,
one_by_two,0.0541401,1570,0.9220779,2856083,master only (1),0.057008212,
DJTira,0.0422018,1635,0.921875,923794,master only (1),0.806003868,
1Xtra,0.2073624,2961,0.9216868,565452,master only (1),0.20352637,
Quackity,0.2717347,2473,0.9210526,959883,master only (1),1.06334201,
billyeichner,0.0340909,352,0.9210526,906585,master only (1),-1.417999078,
ASAMOAH_GYAN3,,,0.9210526,3539080,master only (1),0,
Buster_ESPN,0,995,0.9208633,609098,master only (1),-0.009299253,
Aiannucci,0.3335087,1901,0.9206349,917628,master only (1),0.249102993,
garethemery,0.0626566,399,0.92,562515,master only (1),-1.988447498,
PapaRandlicious,0.0049407,1012,0.92,2311159,master only (1),1.442445953,
JodieMarsh,0.2626866,2010,0.9189189,7569976,master only (1),0,
AubreyODay,0.2238717,1684,0.9189189,762676,master only (1),-1.532741662,
IAmChrisRamsey,0.1087179,1950,0.9189189,4343931,master only (1),-0.02769469,
pulte,0.0842105,95,0.9189189,593786,master only (1),1.400288432,
Ninja,,,0.9183673,1120292,master only (1),-0.850950919,
BizNasty2point0,0.122905,2864,0.9175258,630305,master only (1),0.369118773,
whoisaddison,0.2688414,889,0.9166667,2168319,master only (1),0.317913077,
bieberdexter,0.2224521,1933,0.9166667,2093207,master only (1),0.115730192,
yashar,0.2053265,1164,0.9166667,1743154,master only (1),1.034805726,
JackPosobiec,0.1985981,428,0.9166667,3150941,master only (1),2.407472896,
WMutunga,0.1794872,468,0.9166667,994363,master only (1),-1.601726921,
RuggedyBaba,0.137031,613,0.9166667,622368,master only (1),0.116206023,
henrywinter,0.1139489,509,0.9166667,1055032,master only (1),0.496375849,
CaucasianJames,0.1045655,679,0.9166667,2728939,master only (1),-0.518069236,
Suhelseth,0.0994879,1367,0.9166667,1664958,master only (1),0.64176726,
DanaPerino,0.0878661,717,0.9166667,585486,master only (1),1.399335767,
Carra23,0.0833333,60,0.9166667,833626,master only (1),0.724902564,
ItsTheSituation,0.0658915,516,0.9166667,2304160,master only (1),0.492902718,
RediTlhabi,0.0606061,264,0.9166667,788512,master only (1),-0.904528465,
AndrewYang,0.0569867,1281,0.9166667,1348510,master only (1),-0.149961069,
jemelehill,0.0519802,808,0.9166667,635153,master only (1),-1.436416967,
BoZe,0.0397351,151,0.9166667,529768,master only (1),0,
marshawright,0.0381356,236,0.9166667,513563,master only (1),1.840523992,
morningmika,0.0352564,624,0.9166667,571253,master only (1),0.865981199,
H_Combs,0.0318584,565,0.9166667,601875,master only (1),-1.49752331,
SchadenJake,0.0262391,343,0.9166667,500983,master only (1),0.540137754,
Trendulkar,0.017134,642,0.9166667,3084861,master only (1),0.75418395,
CillizzaCNN,0.0125174,719,0.9166667,5794642,master only (1),1.066915692,
pamfoundation,0.0066225,453,0.9166667,1168618,master only (1),-0.803839965,
