account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
hankypanty,.1928571,140,1,2629293,master only (1)
SarahBrownUK,.1928251,223,1,1057092,master only (1)
EstherPassaris,.1928105,2142,1,565844,master only (1)
RonPaul,.1927083,384,1,661689,master only (1)
kapoorkkunal,.1923077,130,1,574414,master only (1)
TawdeVinod,.1914894,94,1,726619,master only (1)
marvi_memon,.1900192,521,1,2020883,master only (1)
TVietor08,.1899493,2169,1,503400,master only (1)
SenSchumer,.189011,910,1,2316891,master only (1)
FloydShivambu,.1884222,881,1,945838,master only (1)
FrontlineKamran,.1882353,85,1,799164,master only (1)
JohnStossel,.1875,256,1,1025245,master only (1)
mishacollins,.1869565,230,1,2933553,master only (1)
WillieGeist,.1864979,1185,1,846200,master only (1)
KamalaHarris,.1861472,693,1,3655880,master only (1)
MHafeez22,.1857143,140,1,2613425,master only (1)
JesseBWatters,.1832797,311,1,1150669,master only (1)
Acosta,.1828521,1143,1,1606413,master only (1)
n_izzah,.1824324,296,1,1264281,master only (1)
ItsMePragya,.1818182,110,1,699391,master only (1)
AllenWest,.1816144,446,1,781196,master only (1)
ranveerbrar,.1811414,403,1,1749109,master only (1)
MaddowBlog,.1810207,1254,1,1080901,master only (1)
Mohanlal,.1801802,111,1,5973408,master only (1)
RepSwalwell,.179792,673,1,774865,master only (1)
johnallannamu,.1794872,351,1,860883,master only (1)
jimmycarr,.1789474,190,1,6797356,master only (1)
TheShilpaShetty,.1788079,151,1,6014348,master only (1)
anupamachopra,.1785714,196,1,1524896,master only (1)
ChrisMurphyCT,.1779816,1090,1,927578,master only (1)
andrewrsorkin,.1771117,367,1,809174,master only (1)
prakashraaj,.1764706,85,1,2439577,master only (1)
RachelZoe,.1755725,131,1,3749819,master only (1)
megcabot,.1755319,188,1,696040,master only (1)
TulsiGabbard,.1755102,245,1,818107,master only (1)
PhaedraParks,.1754386,57,1,967477,master only (1)
AlluSirish,.175,80,1,1497700,master only (1)
hcmariwala,.1748634,366,1,877284,master only (1)
vishy64theking,.1748252,143,1,549673,master only (1)
glennbeck,.1741071,448,1,1280109,master only (1)
SpeakerPelosi,.1738095,420,1,4318828,master only (1)
Charlie_Carver,.1728395,162,1,803847,master only (1)
RajeevMasand,.172619,168,1,1300618,master only (1)
CalumWorthy,.1724138,58,1,889695,master only (1)
iSumanth,.1724138,29,1,1189729,master only (1)
BarbraStreisand,.171875,384,1,639884,master only (1)
M_Raj03,.1707317,123,1,720488,master only (1)
Paytm,.1706081,592,1,815698,master only (1)
michaelpollan,.1705882,340,1,557774,master only (1)
iamamirofficial,.1702128,94,1,2105313,master only (1)
Nandi_Madida,.1696751,277,1,1179847,master only (1)
CMShehbaz,.1696429,224,1,4922047,master only (1)
kriti_official,.1692308,65,1,636517,master only (1)
DineshDSouza,.1689158,2149,1,1525529,master only (1)
LindseyGrahamSC,.168798,391,1,1648387,master only (1)
JimGaffigan,.168357,493,1,2981588,master only (1)
JudgeJeanine,.1677632,304,1,1981737,master only (1)
sharmilafaruqi,.1671827,646,1,1207874,master only (1)
ChrisCuomo,.1669954,1521,1,1785986,master only (1)
AlikoDangote,.1666667,6,1,679139,master only (1)
Enzo_Pineda,.1666667,18,1,668049,master only (1)
KareenaOnline,.1666667,12,1,1655053,master only (1)
LeeChongWei,.1666667,12,1,1070276,master only (1)
MaiaMitchell,.1666667,42,1,928965,master only (1)
SethGreen,.1666667,186,1,1490471,master only (1)
TonyOElumelu,.1666667,42,1,1030187,master only (1)
WarwickADavis,.1666667,12,1,681418,master only (1)
stevenbjohnson,.1657754,187,1,1178503,master only (1)
AliHZaidiPTI,.1650943,424,1,914654,master only (1)
makaumutua,.164557,237,1,682706,master only (1)
SteveCase,.1641791,1608,1,745369,master only (1)
dooce,.1636364,55,1,1284741,master only (1)
SowetanLIVE,.1633333,2400,1,919688,master only (1)
jenniferstone,.1621622,74,1,1105980,master only (1)
nelsonchamisa,.16171,538,1,646416,master only (1)
WhoSunilGrover,.1616162,99,1,5721787,master only (1)
iHrithik,.1615385,130,1,27172874,matched (3)
ShamsCharania,.1613924,316,1,776588,master only (1)
trish_regan,.1609907,646,1,692684,master only (1)
sarahaines,.1607143,56,1,553498,master only (1)
BillOReilly,.1606335,442,1,3191406,master only (1)
richardpbacon,.1605096,785,1,1307301,master only (1)
Keir_Starmer,.1600877,456,1,723056,master only (1)
JinxxBVB,.16,25,1,566188,master only (1)
Laurie_Holden,.16,25,1,515655,master only (1)
vp_offl,.1597222,144,1,3148377,master only (1)
ShyBoy,.1588785,107,1,820185,master only (1)
brithume,.158794,995,1,1216656,master only (1)
imVkohli,.1585366,82,1,32059749,matched (3)
SamHarrisOrg,.1575092,273,1,1342793,master only (1)
Mehreenpirzada,.1574074,108,1,1259690,master only (1)
GrantWahl,.1573557,1074,1,858455,master only (1)
mrsfunnybones,.1571429,140,1,5402597,master only (1)
joshwiddicombe,.1565217,115,1,512055,master only (1)
denise_vanouten,.1559322,295,1,684311,master only (1)
RandPaul,.1558935,263,1,2763933,master only (1)
BJCalvillo,.1555556,45,1,800191,master only (1)
bukolasaraki,.1553398,103,1,1832006,master only (1)
Ama_K_Abebrese,.1551724,116,1,528768,master only (1)
sridevisreedhar,.1550802,1309,1,614784,master only (1)
chrisfroome,.1546392,97,1,1544058,master only (1)
MohanShakti,.1545741,317,1,643290,master only (1)
LeahRemini,.1544118,136,1,678805,master only (1)
MRodOfficial,.1543624,149,1,1016247,master only (1)
Caspar_Lee,.1538462,26,1,5669696,master only (1)
ElizabethHurley,.1538462,13,1,565516,master only (1)
Gautham_Karthik,.1538462,26,1,972121,master only (1)
kritisanon,.1538462,117,1,5263355,master only (1)
maddow,.1535088,1824,1,10088381,master only (1)
campbellclaret,.1529235,2001,1,622733,master only (1)
sumona24,.1528662,157,1,1362847,master only (1)
ezraklein,.1526718,655,1,2601057,master only (1)
itskcconcepcion,.1525424,118,1,5505165,master only (1)
MikeBloomberg,.1520376,638,1,2760460,master only (1)
Azania_,.151751,257,1,511083,master only (1)
RepJoeKennedy,.1515837,442,1,802173,master only (1)
parthiv9,.1512605,119,1,1816429,master only (1)
nico_rosberg,.1505376,93,1,2318038,master only (1)
sapinker,.1504425,339,1,614149,master only (1)
staceyabrams,.1503268,612,1,697791,master only (1)
Franklin_Graham,.1502591,965,1,2217966,master only (1)
AjuVarghesee,.15,40,1,606156,master only (1)
Karthi_Offl,.15,20,1,1273526,master only (1)
ajaymaken,.15,260,1,737957,master only (1)
peterfacinelli,.15,140,1,1731021,master only (1)
richyricha,.15,100,1,720884,master only (1)
chelseahandler,.1489362,235,1,8235868,master only (1)
NaomiAKlein,.1486726,2825,1,635995,master only (1)
RBReich,.1475556,1125,1,879745,master only (1)
FullFrontalSamB,.1464738,553,1,609029,master only (1)
TellyTalkIndia,.1460177,1808,1,1964515,master only (1)
marcorubio,.1458797,898,1,4150957,master only (1)
CynthiaBailey10,.1428571,301,1,898239,master only (1)
KlayThompson,.1428571,7,1,1365978,master only (1)
RobinRoberts,.1428571,497,1,1163492,master only (1)
TSM_Daequan,.1428571,14,1,1722605,master only (1)
mdk_gul,.1428571,21,1,1083216,master only (1)
vkhosla,.1428571,63,1,518023,master only (1)
shoaib100mph,.1421053,190,1,2859975,master only (1)
mariamenounos,.1404959,363,1,670611,master only (1)
amjoyshow,.1404494,890,1,530522,master only (1)
Palomafaith,.1401869,107,1,576112,master only (1)
RashidaTlaib,.1395881,1311,1,979339,master only (1)
SenSanders,.138833,497,1,9594812,master only (1)
REALDIEGOVALDEZ,.1385281,231,1,597650,master only (1)
gqindia,.1384439,874,1,602310,master only (1)
JuliaGillard,.137931,58,1,810728,master only (1)
MoistCr1TiKaL,.1375,80,1,652332,master only (1)
QueenWillRock,.1374269,342,1,1982674,master only (1)
costareports,.1373922,1856,1,562128,master only (1)
ingridnilsen,.1372549,51,1,1161115,master only (1)
paulfeig,.1372549,102,1,2181449,master only (1)
anandmahindra,.1369565,460,1,7779718,master only (1)
boniver,.1363636,44,1,756462,master only (1)
