account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
NepentheZ,0.0107738,1021,0.9473684,917839,master only (1)
haruharu_w_bts,0.0044053,908,0.9473684,811748,master only (1)
TEYANATAYLOR,0.0038351,1043,0.9473684,1274966,master only (1)
ABFalecbaldwin,,,0.9473684,1087496,master only (1)
segalink,,,0.9463087,525017,master only (1)
BethMooreLPM,0.0190114,263,0.9459459,947490,master only (1)
chefsymon,0.0169147,1478,0.9459459,700759,master only (1)
ericfisher,0.0167488,1015,0.9456522,625309,master only (1)
Rosie,0.1663914,2422,0.9454545,1192969,master only (1)
DrTedros,0.6261501,2065,0.9444444,1170854,master only (1)
sardesairajdeep,0.3685315,1430,0.9444444,8966010,master only (1)
sarbanandsonwal,0.270362,884,0.9444444,802659,master only (1)
SreenivasanJain,0.2301711,643,0.9444444,574910,master only (1)
jeremycorbyn,0.2151899,316,0.9444444,2427217,master only (1)
MeghanMcCain,0.1350093,1074,0.9444444,742868,master only (1)
JoyceWhiteVance,0.1105298,1529,0.9444444,577718,master only (1)
ElsaJeanxxx,0.0747863,468,0.9444444,502228,master only (1)
JohnBarrowman,0.0630011,873,0.9444444,530652,master only (1)
KissaSins,0.0238095,1008,0.9444444,571770,master only (1)
JDaIey,0.0151934,724,0.9444444,850261,master only (1)
scump,0.0141844,282,0.9444444,2122862,master only (1)
rajcheerfull,0.1777394,2318,0.943662,569921,master only (1)
benshapiro,0.0991426,1866,0.9431818,2702697,master only (1)
sacca,0.1253666,1364,0.9428571,1667461,master only (1)
TheRickWilson,0.0417293,2660,0.9427083,923302,master only (1)
inthefade,0.0234962,1064,0.9425287,706347,master only (1)
ScottJKyle1,0.25,4,0.9411765,757773,master only (1)
SRuhle,0.1773846,2317,0.9411765,552298,master only (1)
RachelRileyRR,0.153271,535,0.9411765,663658,master only (1)
TomHall,0.1389776,626,0.9411765,609439,master only (1)
robdelaney,0.0795107,1962,0.9411765,1586323,master only (1)
nailogical,0.0770677,532,0.9411765,621161,master only (1)
kirstiealley,0.0464371,1249,0.9411765,1301929,master only (1)
nikidemar,0.045273,751,0.9411765,1778994,master only (1)
funnyfacegh,0.0419753,810,0.9411765,1168089,master only (1)
bhogleharsha,0.0276407,1013,0.9411765,8448841,master only (1)
trishapaytas,0.0231959,776,0.9411765,663036,master only (1)
XNicoleAnistonX,0.0220264,454,0.9411765,632966,master only (1)
JeffreeStar,0.0208768,479,0.9411765,7704996,master only (1)
I_AM_WILDCAT,0.0160643,498,0.9411765,1696578,master only (1)
AllyBrooke,0.016,500,0.9411765,2798054,master only (1)
CodyWolfeMusic,0.0157846,1077,0.9411765,540485,master only (1)
BigJigglyPanda,0.0157658,444,0.9411765,525184,master only (1)
natusvincere,0.0151844,922,0.9411765,520808,master only (1)
DeionSanders,0.0131422,837,0.9411765,1126425,master only (1)
SypherPK,0.0124481,482,0.9411765,873388,master only (1)
SebGorka,0.0639772,2454,0.9406779,933544,master only (1)
ThatEricAlper,0.0214339,2706,0.9404762,701046,master only (1)
PrisonPlanet,0.2182266,2030,0.94,1150262,master only (1)
elijahdaniel,0.0543131,939,0.939759,637800,master only (1)
velvetgh0st,0.0645161,62,0.9393939,672207,master only (1)
DrewFromTV,0.0614555,1855,0.9393939,601192,master only (1)
richeisen,0.0497778,1125,0.9393939,1226062,master only (1)
piersmorgan,0.1974544,2907,0.9390244,7573469,master only (1)
Clayster,0.0081191,739,0.9387755,716269,master only (1)
djkingassassin,0.0012739,785,0.9387755,525572,master only (1)
Imamofpeace,0,11,0.9387755,869486,master only (1)
NYGovCuomo,0.3333333,1044,0.9375,2072615,master only (1)
Markgatiss,0.0984252,1016,0.9375,729573,master only (1)
common,0.0833333,444,0.9375,5436103,master only (1)
ResourcefulMom,0.0424837,918,0.9375,606760,master only (1)
MrLeonardKim,0.0363128,358,0.9375,611996,master only (1)
chrisdelia,0.030303,396,0.9375,1128173,master only (1)
tokstarr,0.0254176,1377,0.9375,769825,master only (1)
ProZD,0.0205479,584,0.9375,614674,master only (1)
KChenoweth,0.0199275,552,0.9375,1190958,master only (1)
MatthewBerryTMR,0.0166667,600,0.9375,1047414,master only (1)
naval,0.0140845,71,0.9375,850525,master only (1)
PhilipRucker,,,0.9375,504562,master only (1)
sarahcpr,,,0.9375,591581,master only (1)
daveweigel,0.0951493,1608,0.9370629,509469,master only (1)
mehdirhasan,0.0933997,1606,0.9367089,872919,master only (1)
thereallisaann,0.0127694,1253,0.9358974,1177749,master only (1)
helenzille,0.2331081,296,0.9354839,1433599,master only (1)
OleItumbi,0.1826452,1429,0.9354839,1004888,master only (1)
arielhelwani,0.0218652,2241,0.9354839,851972,master only (1)
dodo,0.0017668,2264,0.9354839,2042437,master only (1)
arjmxrell,0,1521,0.9354839,1010664,master only (1)
waltmossberg,0.1733333,375,0.9333333,871906,master only (1)
Benioff,0.1688312,1771,0.9333333,1028568,master only (1)
amandapalmer,0.0893372,347,0.9333333,1089811,master only (1)
