account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
samantharonson,0.0766423,274,1,1243234,master only (1)
EliYoungBand,0.0765864,457,1,534804,master only (1)
lecrae,0.0765306,196,1,1679586,master only (1)
clairecmc,0.0764706,850,1,512006,master only (1)
MTNNG,0.0762712,236,1,1050589,master only (1)
OfficialJLD,0.0762712,236,1,1129424,master only (1)
kieferravena,0.0761905,105,1,756486,master only (1)
ewarren,0.0760148,1355,1,4197465,master only (1)
MIT,0.0760135,592,1,1079391,master only (1)
TVGuide,0.0759908,3053,1,1092472,master only (1)
jennadewan,0.0759494,79,1,731198,master only (1)
UlrichJvV,0.0758988,751,1,1038177,master only (1)
gautam_rode,0.0758621,145,1,1705628,master only (1)
CoinMarketCap,0.0757576,66,1,547162,master only (1)
ComedyCentralIn,0.0757098,634,1,1421574,master only (1)
StephenKing,0.0756881,436,1,5876245,master only (1)
NYCMayor,0.075643,1322,1,1476668,master only (1)
Mattdavelewis,0.0756303,119,1,1424403,master only (1)
tonyparker,0.0754717,53,1,2165528,master only (1)
asliyoyo,0.0754717,159,1,5398204,master only (1)
SaraBareilles,0.0754717,265,1,3009934,master only (1)
pitbull,0.075188,133,1,26014000,matched (3)
iamsunnydeol,0.075,40,1,540792,master only (1)
ItsJoshPeck,0.075,40,1,2840272,master only (1)
madelainepetsch,0.075,40,1,1948352,master only (1)
OfficialKat,0.075,80,1,1119704,master only (1)
RondaRousey,0.0748299,147,1,3619829,master only (1)
Roymouni,0.0747664,107,1,3124417,master only (1)
mcuban,0.0747664,214,1,7914781,master only (1)
Lavernecox,0.0747126,174,1,688350,master only (1)
ananavarro,0.0746269,335,1,1371454,master only (1)
HaifaWehbe,0.0745192,416,1,6833173,master only (1)
PopSci,0.0744607,2874,1,1364411,master only (1)
BankofAmerica,0.0743243,148,1,550499,master only (1)
SadhguruJV,0.0742857,350,1,2437064,master only (1)
TheRealKMcKidd,0.0741935,310,1,793812,master only (1)
MariSmith,0.0741139,931,1,586199,master only (1)
Dinnerbone,0.0740741,27,1,573445,master only (1)
KarlRove,0.0740741,27,1,664401,master only (1)
AdamSandler,0.0740741,54,1,2580645,master only (1)
safiyajn,0.0740741,81,1,556215,master only (1)
MrPeterAndre,0.0736842,95,1,3290596,master only (1)
carlyincontro,0.0735294,68,1,680875,master only (1)
MarinaDiamandis,0.0735294,68,1,2739816,master only (1)
